Tanggal,SEMUA PROVINSI,JAWA TIMUR,Kota Blitar,Kota Kediri,Kota Madiun,Kota Malang,Kota Probolinggo,Kota Surabaya,Kab. Banyuwangi,Kab. Jember,Kab. Sumenep
2021-06-05,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-06,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-07,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-08,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-09,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-10,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-11,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-12,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-13,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-14,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-15,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-16,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-17,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-18,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
2021-06-19,11700,10355,10101,10449,11100,11001,9246,11647,9649,10750,9000
